Enhancer,Regulating TF,Target genes
chrX:53186200-53186401,NFAT5,KDM5C
chr13:109381001-109382600,NFKB2,IRS2
chr13:109381001-109382600,IRF7,IRS2
chr12:3061041-3061600,NR2F6,TEAD4
chr12:9046402-9047448,TBX21,CLEC2D
chr12:9046402-9047448,STAT4,CLEC2D
chr12:9046402-9047448,EOMES,CLEC2D
chr12:9046402-9047448,RFX7,CLEC2D
chr12:9046402-9047448,MEF2C,CLEC2D
chr12:48036402-48038800,TBX19,"RAPGEF3, PCED1B, HDAC7"
chr12:48036402-48038800,ZNF211,"PCED1B, HDAC7"
chr12:48036402-48038800,TBX6,"PCED1B, HDAC7"
chr12:48036402-48038800,FOXS1,"RAPGEF3, PCED1B, CACNB3"
chr12:48036402-48038800,MAX,"RAPGEF3, PCED1B, HDAC7"
chr12:48036402-48038800,ZNF667,"RAPGEF3, PCED1B"
chr12:48036402-48038800,IRF7,H1-7
chr12:48036402-48038800,EBF4,HDAC7
chr12:48036402-48038800,HOXB6,"RAPGEF3, HDAC7"
chr12:48036402-48038800,STAT2,RAPGEF3
chr12:48036402-48038800,NFATC4,"RAPGEF3, HDAC7"
chr12:48036402-48038800,IRF9,"RAPGEF3, HDAC7, CACNB3"
chr12:48036402-48038800,HEY2,"RAPGEF3, HDAC7, CACNB3"
chr12:48036402-48038800,HOXA3,"RAPGEF3, HDAC7"
chr12:48036402-48038800,GLIS2,RAPGEF3
chr12:48036402-48038800,FOXD2,HDAC7
chr12:48036402-48038800,TCF21,"RAPGEF3, HDAC7"
chr12:48036402-48038800,RELA,"RAPGEF3, HDAC7"
chr12:48036402-48038800,PKNOX1,"RAPGEF3, HDAC7, CACNB3"
chr12:48036402-48038800,HOXB2,"RAPGEF3, HDAC7"
chr11:46391169-46391380,NFKB2,"CHST1, SLC35C1, CHRM4"
chr11:46391169-46391380,KLF15,CHRM4
chr11:75049201-75050600,TBX19,"RPS3, GDPD5"
chr11:75049201-75050600,TBX6,RPS3
chr11:75049201-75050600,STAT6,"RPS3, GDPD5"
chr11:75049201-75050600,IRF3,RPS3
chr11:75049201-75050600,JDP2,GDPD5
chr11:75049201-75050600,EBF4,GDPD5
chr11:75049201-75050600,RELA,GDPD5
chr11:75049201-75050600,FOXD2,GDPD5
chr11:75049201-75050600,HOXA2,GDPD5
chr11:75049201-75050600,PRDM1,GDPD5
chr10:92656601-92656800,NFYA,BTAF1
chr17:8029000-8029601,IRF1,PER1
chr16:66247202-66252399,MZF1,"FHOD1, SLC9A5"
chr16:66247202-66252399,TBX3,"KIAA0895L, FHOD1, SLC9A5, B3GNT9"
chr16:66247202-66252399,E2F3,"FHOD1, SLC9A5"
chr16:66247202-66252399,PKNOX2,"FHOD1, SLC9A5, B3GNT9"
chr16:66247202-66252399,NR2F1,SLC9A5
chr16:66247202-66252399,RARG,"FHOD1, SLC9A5"
chr16:66247202-66252399,CREB3,"KIAA0895L, FHOD1, SLC9A5, B3GNT9"
chr16:66247202-66252399,ETV7,FHOD1
chr16:66247202-66252399,FOXS1,"KIAA0895L, FHOD1, B3GNT9"
chr16:66247202-66252399,FOXD2,"FHOD1, KIAA0895L"
chr16:66247202-66252399,IRF7,FHOD1
chr16:66247202-66252399,HIC1,KIAA0895L
chr16:66247202-66252399,MEF2B,KIAA0895L
chr16:68724601-68726400,PKNOX2,CDH3
chr14:75564401-75567199,ZNF341,ACYP1
chr22:37673549-37673973,SP4,EIF3L
chr20:719546-721000,TFEC,"SIRPB2, SRXN1"
chr20:31805601-31807600,THRA,TPX2
chr20:31805601-31807600,TP73,"TM9SF4, TPX2"
chr20:31805601-31807600,RELA,TPX2
chr20:31805601-31807600,CREB3L4,TPX2
chr20:31805601-31807600,USF2,"TM9SF4, TPX2"
chr20:31805601-31807600,MAX,"TM9SF4, TPX2"
chr20:31805601-31807600,NFATC4,TPX2
chr20:31805601-31807600,NR3C2,"TM9SF4, TPX2"
chr20:31805601-31807600,HIC1,TM9SF4
chr21:34008800-34009400,PBX1,ITSN1
chr21:34008800-34009400,ZNF416,ITSN1
chr21:34008800-34009400,FOXJ2,ITSN1
chr6:26028791-26029135,MYBL2,"H2BC9, H2AC8, H1-2, H2BC8, H4C3"
chr6:26550466-26550774,NR1H2,"BTN2A1, TRIM38"
chr6:26550466-26550774,ZNF136,"TRIM38, ZNF322"
chr6:26550466-26550774,PPARD,"BTN2A1, ZNF322"
chr6:90380802-90389799,IKZF1,BACH2
chr6:90380802-90389799,BCL11B,BACH2
chr6:152680201-152682199,ZNF449,"MYCT1, SYNE1"
chr6:152680201-152682199,ZNF770,SYNE1
chr6:152680201-152682199,NFIC,MYCT1
chr6:152680201-152682199,KLF10,"MYCT1, SYNE1"
chr6:152680201-152682199,PLAG1,"MYCT1, SYNE1"
chr6:152680201-152682199,ZSCAN31,SYNE1
chr6:152680201-152682199,THRA,SYNE1
chr6:152680201-152682199,ZNF701,"MYCT1, SYNE1"
chr6:152680201-152682199,NFIX,"MYCT1, SYNE1"
chr6:152680201-152682199,ZFX,SYNE1
chr6:152680201-152682199,SP2,MYCT1
chr6:152680201-152682199,ZNF677,MYCT1
chr5:74041802-74043399,ZNF140,ARHGEF28
chr5:74041802-74043399,ELK4,ARHGEF28
chr5:74041802-74043399,ZNF184,ARHGEF28
chr5:74041802-74043399,ZNF24,ARHGEF28
chr5:74041802-74043399,FOXJ2,ARHGEF28
chr5:74041802-74043399,ZNF708,ARHGEF28
chr5:74041802-74043399,PPARA,ARHGEF28
chr5:74041802-74043399,RFX7,ARHGEF28
chr5:74041802-74043399,THRB,ARHGEF28
chr5:74041802-74043399,HOXD8,ARHGEF28
chr5:74041802-74043399,FLI1,ARHGEF28
chr5:74041802-74043399,GABPA,ARHGEF28
chr5:74041802-74043399,MECOM,ARHGEF28
chr5:74041802-74043399,ZNF148,ARHGEF28
chr5:74041802-74043399,HLF,ARHGEF28
chr5:74041802-74043399,ERG,ARHGEF28
chr5:74041802-74043399,PGR,ARHGEF28
chr5:74041802-74043399,NFAT5,ARHGEF28
chr5:74041802-74043399,ZFP14,ARHGEF28
chr5:74041802-74043399,SP1,ARHGEF28
chr5:74041802-74043399,ZFX,ARHGEF28
chr4:3747800-3748000,KLF9,ADRA2C
chr4:20684958-20685563,NFAT5,SLIT2
chr4:25523202-25525600,ZNF680,CCDC149
chr4:146049402-146050599,CTCF,ZNF827
chr4:146049402-146050599,BHLHE41,"ZNF827, ABCE1"
chr4:146049402-146050599,ESR1,"ZNF827, ABCE1"
chr4:184957160-184961399,RARA,ACSL1
chr3:38423201-38423400,MEF2C,XYLB
chr2:6812201-6813600,ZNF449,RSAD2
chr2:85799201-85800200,MEIS1,ATOH8
chr2:102276202-102279600,FOXC1,IL1R2
chr2:102276202-102279600,BCL6,"IL1R2, IL18RAP, IL18R1"
chr2:102276202-102279600,CEBPB,"IL1R2, IL18RAP, IL1RL1, IL1R1"
chr2:102276202-102279600,NFIL3,"IL1R2, IL18RAP, IL1R1"
chr2:102276202-102279600,EHF,"IL1R2, IL1R1"
chr2:102276202-102279600,NFKB2,"IL1R2, IL18RAP, IL18R1, IL1RL1"
chr2:102276202-102279600,SNAI2,"IL1RL1, IL1R1, IL18R1"
chr2:102276202-102279600,KLF9,IL1RL1
chr2:102276202-102279600,KLF7,"IL1RL1, IL18RAP, IL18R1"
chr2:102276202-102279600,RARG,IL18R1
chr2:102276202-102279600,IRF7,IL18R1
chr1:54952902-54956399,AR,"TMEM61, DHCR24"
chr1:54952902-54956399,HLF,"TMEM61, DHCR24"
chr1:54952902-54956399,BATF,TMEM61
chr1:117656166-117656625,RXRA,TENT5C
chr1:117656166-117656625,ZNF768,TENT5C
chr1:117656166-117656625,RXRB,TENT5C
chr1:117656166-117656625,RARA,TENT5C
chr1:117793402-117794599,EBF4,TENT5C
chr1:117793402-117794599,ERF,TENT5C
chr1:117793402-117794599,PRDM1,TENT5C
chr1:117793402-117794599,NRL,TENT5C
chr1:117793402-117794599,GATA3,TENT5C
chr1:117793402-117794599,GATA6,TENT5C
chr1:117793402-117794599,HOXA3,TENT5C
chr1:117793402-117794599,FLI1,TENT5C
chr1:117793402-117794599,SOX17,TENT5C
chr1:117793402-117794599,RXRA,TENT5C
chr1:117793402-117794599,RELA,TENT5C
chr1:117793402-117794599,ZNF274,TENT5C
chr1:117793402-117794599,HOXA2,TENT5C
chr1:120705801-120708600,RFX5,NOTCH2
chr1:184773601-184774399,ELF3,NIBAN1
chr1:184773601-184774399,JUND,NIBAN1
chr1:228189201-228189400,ZNF460,OBSCN
chr1:228189201-228189400,ZNF384,OBSCN
chr8:24260001-24260799,BACH2,ADAM28
chr8:24260001-24260799,EBF1,ADAM28
