,GTEX-1B8KZ-0226-SM-7EWF6,GTEX-1AYD5-0226-SM-79ONV,GTEX-1AMFI-0926-SM-731E4,GTEX-1A3MV-0126-SM-731FQ,GTEX-1AX9K-0226-SM-793CM
chrX:264801-265400,34,13,3,98,65
chrX:326001-326200,11,74,23,42,98
chrX:445401-446800,20,18,55,60,19
chrX:1213601-1216400,0,6,42,0,13
chrX:1216601-1217800,0,13,0,17,31
chrX:1231002-1234599,21,56,9,97,35
chrX:1255401-1256200,10,21,12,29,72
chrX:1258602-1259599,20,79,82,21,32
chrX:1260001-1260600,0,0,19,9,38
chrX:1264401-1265000,95,73,36,39,43
chrX:1316437-1316937,312,409,82,196,401
chrX:1559402-1562200,8,37,170,7,0
chrX:1610201-1610800,1,0,11,20,26
chrX:1659475-1659685,25,0,40,39,64
chrX:1684601-1686030,23,0,78,44,0
chrX:2181802-2183999,151,85,237,131,181
chrX:2188002-2189199,0,0,65,27,70
chrX:2566401-2566600,460,330,184,646,689
chrX:2572452-2573399,0,27,71,69,37
chrX:2577800-2578600,58,36,10,94,31
chrX:2592022-2593800,1954,2183,635,872,1759
chrX:2604401-2604799,68,108,142,72,92
chrX:2658401-2659200,190,141,182,222,439
chrX:2659801-2660400,130,124,447,229,259
chrX:2662401-2663200,448,420,734,464,621
chrX:2664406-2665754,2174,1709,1696,1513,2151
chrX:3514802-3516199,23,1,19,0,0
chrX:3520001-3523599,21,35,0,19,0
chrX:3526001-3527600,23,17,16,0,0
chrX:3814801-3815222,9,0,68,26,37
chrX:9977801-9989599,0,57,165,96,88
chrX:11791001-11793600,0,0,76,60,107
chrX:12900019-12900400,18,0,18,14,19
chrX:12929201-12930200,291,568,83,340,1931
chrX:12951241-12951786,0,0,67,31,25
chrX:12956735-12957154,45,0,16,30,0
chrX:12962050-12962428,31,55,65,40,56
chrX:12973469-12974181,173,166,227,106,183
chrX:13090038-13090639,44,41,47,22,38
chrX:13090651-13091642,44,56,39,55,0
chrX:13108601-13112400,22,37,0,0,18
chrX:13412001-13412200,8,0,21,5,0
chrX:13413801-13415600,110,46,105,56,29
chrX:13417802-13421799,347,287,310,124,189
chrX:13422801-13423400,0,27,0,30,9
chrX:13645801-13649799,89,136,35,70,154
chrX:13684401-13686000,45,37,154,121,93
chrX:13989601-13990000,18,18,47,0,0
chrX:13994001-13994200,0,0,10,19,16
chrX:13996796-13996990,22,1,3,0,0
chrX:15882001-15884000,23,0,20,0,19
chrX:17165601-17165800,17,0,0,14,11
chrX:17187201-17187800,143,117,54,20,656
chrX:17208601-17209200,19,0,14,0,18
chrX:17225801-17226000,0,14,13,0,46
chrX:17226601-17227400,0,0,34,41,79
chrX:18886386-18886554,23,8,3,2,0
chrX:18886570-18887031,40,24,38,15,0
chrX:19904716-19907000,17,0,28,0,28
chrX:21659801-21660400,32,0,54,32,15
chrX:21675201-21676600,10,0,56,15,0
chrX:21698001-21701399,10,0,60,0,29
chrX:21904601-21907999,45,86,38,46,76
chrX:21932395-21932963,30,0,28,10,19
chrX:23694459-23695200,33,52,48,0,22
chrX:23825601-23827600,5,0,7,13,0
chrX:24090480-24091342,68,0,19,17,33
chrX:24124201-24125599,27,18,0,0,47
chrX:27566601-27568600,20,0,20,0,19
chrX:30532601-30534200,510,286,229,436,151
chrX:30553801-30555999,565,1788,886,447,425
chrX:30592965-30593110,0,0,4,10,2
chrX:30597713-30598015,14,11,16,44,13
chrX:30612629-30612975,23,55,76,41,131
chrX:39134001-39136200,0,18,39,20,0
chrX:39169202-39171800,19,53,270,137,38
chrX:39724601-39728799,18,10,37,62,0
chrX:39764002-39768400,125,149,72,173,16
chrX:39782601-39782800,22,0,5,0,7
chrX:39802001-39803399,18,73,10,134,52
chrX:39807801-39810400,11,0,119,148,0
chrX:39826002-39827599,23,19,0,54,0
chrX:39849000-39849401,95,39,19,115,42
chrX:39855229-39855451,22,39,0,28,0
chrX:39991201-39991600,0,0,2,10,9
chrX:40303201-40304599,0,17,19,58,48
chrX:40328801-40330600,67,48,18,19,17
chrX:40402801-40404199,60,18,12,0,19
chrX:41004801-41007000,0,13,8,20,76
chrX:41238702-41238831,9,3,0,10,0
